input_index,input_x1,input_y1,input_theta0,input_theta1,output_v0,output_delta0,output_v1
23,-0.351551921,1.746742477,1.408215711,1.659403583,0.199875407,-0.183121127,0.19815445
42,-0.870889068,1.328847054,0.681201575,1.019750128,-0.20000001,0.020468799,-0.189327358
34,-0.567926317,1.692354007,1.041028678,0.900989333,-0.199998087,-0.138142813,-0.199968433
6,0.112100522,0.266732139,1.926238143,1.62398064,0.199839691,0.14983146,0.195240467
24,-0.375169864,1.793979302,1.312282853,1.577171353,0.199927355,-0.111405495,0.195870843
9,-0.11667297,0.478621309,1.957372131,1.98568289,0.199971505,-0.179868634,0.200400525
8,-0.079772708,0.433478735,2.176165561,1.762982765,0.199951598,-0.170912121,0.176262598
3,-0.096282155,0.525972487,1.488047887,1.431343632,-0.199835138,0.358024584,-0.197484888
43,-0.986415769,1.012579582,0.809980869,1.299351188,-0.19999998,0.373428886,-0.194079567
32,-0.47289532,1.789647271,1.340930436,0.895715104,-0.054132973,-0.503138831,-0.070523766
23,-0.381089248,1.665308053,1.341752564,1.566741353,0.199925233,-0.108154793,0.197299323
22,-0.347599767,1.73607148,1.313935843,1.628514995,0.199938355,-0.059507059,0.191967962
5,0.058763012,0.183712891,2.245939798,1.425002301,0.19991072,0.041470973,0.139281028
18,-0.338799809,1.322113842,1.610822365,1.720114319,0.199946769,-0.190502789,0.200831702
1,0.00672727,0.054274694,1.760911242,1.46140932,-0.199885309,0.396029817,-0.179302491
33,-0.48850653,1.771105189,1.278976385,0.899576268,-0.147194489,-0.438087162,-0.152952185
24,-0.365165917,1.848549281,1.269612261,1.467536166,0.199903646,0.007800235,0.195847532
36,-0.667346759,1.556859644,0.964777404,0.861905895,-0.199999896,-0.257013461,-0.201581851
36,-0.60573827,1.629794922,1.028448381,0.864044071,-0.199341374,-0.27098046,-0.201088453
14,-0.264806834,0.932737559,1.673949345,1.878110015,0.19999227,-0.062086971,0.197097515
1,0.099526036,0.116743523,1.589980253,1.559625815,-0.199944767,0.110175829,-0.199518279
43,-0.981629859,1.039622519,0.80688354,1.295149789,-0.199999977,0.314814055,-0.19139726
27,-0.331608087,2.120724216,1.279915717,1.338162883,-0.093690192,0.283699767,-0.09518284
2,0.015454705,0.121692831,1.848027617,1.319555046,-0.182469705,0.200094497,-0.147487803
49,-1.076093426,0.655042669,1.757036566,1.046678269,0.20000001,0.694481005,0.196913148
38,-0.701729637,1.531187297,0.82143539,0.87552066,-0.20000001,0.10930645,-0.200298458
37,-0.744897766,1.481907056,0.839532932,0.9268895,-0.199999901,-0.186467108,-0.197610428
22,-0.368309944,1.673242997,1.382980584,1.616897091,0.192088751,-0.107328884,0.189345184
31,-0.413742317,1.92184941,1.46754116,1.083535247,-0.199886151,-0.102034742,-0.189151311
7,0.043036168,0.479481813,2.330523668,1.837606414,0.199922392,-0.135012766,0.169734089
49,-1.099448142,0.602013344,1.781110603,0.949579854,0.20000001,0.662462559,0.183702653
32,-0.458223412,1.817280079,1.434062535,0.939564294,-0.188636935,-0.56808531,-0.193000305
38,-0.78756418,1.391231557,0.914906329,0.973942698,-0.199999915,-0.07193835,-0.199227036
11,-0.181408056,0.675102628,1.834544407,1.952177658,0.199969266,-0.166923889,0.200546369
20,-0.372067147,1.545729845,1.497023961,1.653424226,0.014790157,-0.040721111,0.01524392
