input_x1,input_y1,input_theta0,input_theta1,output_v0,output_delta0,output_v1
0.312049958,1.984798752,0.356068432,0.900882099,0.010743227,-0.20000001,-0.171601561
0.31824538,1.992767197,0.256068427,0.918146303,0.273341109,-0.20000001,-0.174547154
0.400900949,2.077688898,0.156068422,0.690854219,0.99971672,-0.20000001,-0.22302681
0.835429534,2.264803756,0.056068417,0.22477807,0.863801461,-0.20000001,-0.21166459
1.260204518,2.324246596,-0.043931588,0.066848235,0.620767425,0.060310168,0.053077684
1.569689961,2.332145895,-0.013776504,0.000572751,0.620767425,0.171381641,0.170473273
1.880101443,2.331023351,0.071914316,0.005833405,0.549283865,0.20000001,0.203190577
2.154308514,2.33880829,0.171914321,0.058130791,0.463687787,0.20000001,0.203971363
2.384463333,2.359645112,0.271914326,0.126499973,0.501031535,0.100746094,0.106942883
2.629871883,2.40242251,0.322287373,0.213572987,0.493661547,-0.099981267,-0.094034773
2.868434255,2.463081388,0.272296739,0.269944601,0.278706424,-0.20000001,-0.199933901
3.002705287,2.501378682,0.172296734,0.277433461,0.388077024,-0.20000001,-0.202968257
3.190119662,2.550044894,0.072296729,0.225515705,0.533836666,-0.20000001,-0.205804418
3.451330872,2.596076092,-0.027703276,0.123625644,0.460836448,-0.20000001,-0.204661534
3.679634867,2.614469999,-0.127703281,0.03562845,0.169804522,0.20000001,0.194577078
3.763343008,2.614782575,-0.027703276,-0.020600719,0.138877038,0.20000001,0.199896328
3.833147168,2.612465967,0.072296729,-0.041041661,0.718093109,-0.20000001,-0.190595487
4.191515331,2.613423551,-0.027703276,0.015761868,0.03273657,0.20000001,0.199668873
4.208098054,2.613405809,0.072296729,-0.016275605,0.75389302,-0.20000001,-0.192547338
4.584609143,2.620025996,-0.027703276,0.022972705,0.025308619,0.20000001,0.19961506
4.597412711,2.620101692,0.072296729,-0.009652924,0.747684824,-0.20000001,-0.193208416
4.970861711,2.628051974,-0.027703276,0.0249311,0.019602442,0.20000001,0.199619908
4.980795431,2.628129277,0.072296729,-0.007912321,0.725640856,-0.20000001,-0.193542948
5.343240317,2.636126051,-0.027703276,0.025698124,0.620767425,0.20000001,0.196401497
5.653551036,2.638295262,0.072296729,0.008210418,0.620767425,0.20000001,0.203564992
5.963359503,2.648765492,0.172296734,0.066449812,0.620767425,0.048579926,0.054866415
6.271137994,2.681726094,0.196586697,0.138758878,0.650946469,-0.040286146,-0.036456621
6.592196768,2.733827005,0.176443625,0.173285716,0.645811664,-0.120546275,-0.120341733
6.910273152,2.789512557,0.116170487,0.164305917,0.682614361,0.20000001,0.196483828
7.247809402,2.839735487,0.216170492,0.151984872,0.728390948,0.20000001,0.204260185
7.605428203,2.905831772,0.316170497,0.219893127,0.797842522,-0.20000001,-0.191404236
7.990713194,3.007396159,0.216170492,0.264419561,1.460554629,-0.20000001,-0.206811564
8.702894713,3.165535998,0.116170487,0.170374854,3.91554008,0.20000001,0.178492725
10.63549145,3.471705457,0.216170492,0.196140102,7.866699607,0.20000001,0.215716142
-0.1,0.238888889,1.570796327,1.570796327,0.412871051,-0.19993996,-0.19993996
-0.100759007,0.445481907,1.470826347,1.567167188,-0.153721415,0.009704667,0.01113834
-0.100093027,0.369009572,1.47567868,1.592730452,-0.214164926,0.083621221,0.085550141
-0.096357772,0.2621783,1.517489291,1.617762544,0.470436305,0.125116853,0.119779055
-0.099836214,0.496833427,1.580047717,1.568039144,0.515186434,-0.076038947,-0.075414814
-0.100248001,0.754434796,1.542028244,1.570960004,0.522788039,0.199890145,0.198294186
-0.097545368,1.015877691,1.641973317,1.565141727,-0.464200244,0.193369777,0.189236301
-0.115370755,0.792093958,1.738658205,1.380376003,0.25098392,-0.077787303,-0.064046701
-0.100778346,0.910854095,1.699764553,1.504790834,0.268493899,-0.107533108,-0.100293831
-0.097585282,1.043194751,1.645998,1.57890632,0.367461517,-0.199905425,-0.196992166
-0.103084062,1.226751221,1.546045287,1.609320425,0.441671866,0.19995131,0.196758346
-0.106859965,1.447473105,1.646020942,1.581991612,0.299010629,0.1999827,0.201486137
-0.109551183,1.597123289,1.746012292,1.602184884,0.107023133,0.199962135,0.199431442
-0.11122602,1.651510631,1.84599336,1.603946309,-0.053416343,0.199974686,0.192864955
-0.111116239,1.629346401,1.945980703,1.544302481,-0.116639111,0.19997898,0.179501722
-0.114949793,1.583642696,2.045970193,1.420458862,-0.051092155,0.199992058,0.159134822
-0.117322025,1.571160924,2.145966221,1.339558781,-0.107314965,0.199989443,0.130665846
-0.124397417,1.548586363,2.245960943,1.176224174,-0.293461314,0.199988104,0.070326578
-0.134134767,1.529570855,2.345954995,0.698090817,-0.572766708,0.20000001,-0.072504976
0.013568562,1.557377841,2.445955,-0.072906329,0.091162726,0.20000001,-0.157140573
-0.017319752,1.557840046,2.545955005,0.043628309,-0.892413937,0.155085698,-0.177703528
0.388465277,1.457644576,2.623497854,-0.396713574,-0.877160383,0.084796637,-0.094793687
0.784201405,1.270226525,2.665896172,-0.46238975,-1.039917463,0.126254581,-0.127627153
1.252182012,1.043840337,2.729023463,-0.430204522,-1.051095319,0.153894585,-0.152017109
1.73627407,0.840373102,2.805970755,-0.362888743,-1.047094129,0.169568089,-0.166650316
2.232114344,0.674292067,2.8907548,-0.282341336,-0.432862953,0.036445053,-0.035063526
