input_theta1,input_x1,input_y1,input_theta0,input_index,output_v0,output_delta0,exec_time_sec
1.579342121,-0.079932003,0.357228461,1.380439046,9,0.1999094388419918,-0.3750689818010607,63.80764198303223
1.572034895,-0.080002214,0.371585529,1.373593111,10,0.1999536708388914,-0.39712379471351156,55.31371855735779
1.564064624,-0.079963791,0.385488422,1.369932264,11,0.0022246084336706115,0.4221578611744096,72.20225167274475
1.555695592,-0.079816373,0.398956341,1.369104912,12,0.0403083749265388,0.41803546718329443,68.14847922325134
1.547065062,-0.0795535,0.412467422,1.370148421,13,-0.09000579693544725,0.4140610834428719,66.31354188919067
1.538345429,-0.079172436,0.426007668,1.372853197,14,0.199461393382569,-0.2754555152710148,54.37645387649536
1.529667914,-0.078669646,0.439649496,1.376934487,15,0.19951762856467573,-0.3049610875111245,55.426735162734985
1.521167477,-0.078046239,0.453361494,1.382225358,16,0.1736704159064289,-0.27017250997557224,54.577025413513184
1.512746516,-0.077302578,0.467145076,1.389215873,17,0.16669300404239443,-0.13278568222895462,59.42018795013428
1.504588294,-0.076522456,0.479672153,1.399203953,18,-0.08856109395806187,0.41313329815771,76.58064866065979
1.496637337,-0.075783423,0.490174818,1.413022761,19,-0.1999388731072117,0.33779112674546385,57.30302953720093
1.488947148,-0.075265845,0.496792043,1.431357331,20,0.1316542849628172,-0.16139099066101248,54.51000213623047
1.480966412,-0.075146465,0.498178573,1.454696278,21,-0.14681052373634892,0.33009095817755685,54.044827699661255
1.472164477,-0.075660054,0.49274052,1.481566204,22,-0.1541210081512054,0.26733183782561654,55.9426634311676
1.461872401,-0.076838085,0.481415672,1.509215383,23,-0.19181981449301558,0.26582610653669897,54.39072251319885
1.449973053,-0.078554009,0.46652228,1.534949247,24,-0.1996838738261244,0.17026367671604614,54.00014066696167
1.435637357,-0.080854551,0.448617546,1.558990235,25,-0.19980379886843283,0.12122131778469503,50.39248824119568
1.419887718,-0.083659844,0.429110734,1.578152482,26,-0.1998611382740477,0.08303323051140761,51.132307291030884
1.403106019,-0.086943223,0.408649631,1.591989515,27,-0.1996072146600248,0.07000808857277797,50.40908217430115
1.385121647,-0.090668402,0.387764166,1.602112992,28,-0.18963233333536864,0.11458338623666577,51.46604037284851
1.365457094,-0.094833657,0.366711583,1.610444206,29,-0.19993337569780772,0.09309180084283085,57.373069286346436
1.344143843,-0.099455136,0.345630895,1.617029646,30,-0.19449202871761825,0.19465760304529778,79.3900818824768
1.321038658,-0.104525686,0.324731303,1.622617071,31,-0.19999451562253462,0.2892979868936649,81.75328779220581
1.295843677,-0.110036924,0.304191923,1.628193896,32,-0.19998670131383997,0.33813430569341246,76.16724061965942
1.268614971,-0.115913361,0.284380054,1.634323926,33,-0.19978793533363085,0.1709247328986821,61.14398193359375
1.23972565,-0.121948964,0.265944374,1.642043955,34,-0.1998418273756834,0.02170417389664594,33.50672197341919
